-716059.0333809326 -984107.7111799804 277.0
-716064.5014809327 -984100.6278799804 277.0
-716069.8295809327 -984097.1182799804 277.0
-716073.4184809327 -984096.1122799804 277.0
-716076.7182809327 -984096.1368799804 277.0
-716081.9019809327 -984097.6765799804 277.0
-716084.9191809327 -984099.5515799804 277.0
-716088.2404809326 -984103.9953799804 277.0
-716088.3288809326 -984106.6704799804 277.0
-716087.1022809327 -984109.6104799805 277.0
-716083.6313809326 -984113.6588799804 277.0
-716079.9464809326 -984115.9833799804 277.0
-716071.8691809326 -984117.9119799804 277.0
-716066.6233809327 -984117.8059799804 277.0
-716062.0629809326 -984116.6187799805 277.0
-716059.9315809327 -984115.1125799804 277.0
-716058.5621809327 -984110.8957799805 277.0
-716059.0333809326 -984107.7111799804 277.0
